Lectura_R,Lectura_G,Lectura_B,Color
3450,820,750,Rojo
3510,805,780,Rojo
3420,850,710,Rojo
920,3100,890,Verde
950,3150,870,Verde
890,3050,910,Verde
700,950,3600,Azul
730,980,3550,Azul
680,920,3650,Azul
3800,3750,3850,Blanco
3850,3800,3900,Blanco
3750,3700,3820,Blanco
250,280,310,Negro
270,300,330,Negro
230,260,290,Negro
3500,3300,800,Amarillo
3550,3350,820,Amarillo
3480,3250,780,Amarillo
850,3200,3300,Cian
880,3250,3350,Cian
820,3150,3250,Cian
3400,750,3500,Magenta
3450,780,3550,Magenta
3350,720,3450,Magenta
3600,1800,600,Naranja
3650,1850,620,Naranja
3550,1750,580,Naranja
0,0,0,Negro
0,0,0,Negro
0,0,0,Negro
